,availability,location,total_sqft,bath,price,bhk,loction
35,Ready To Move,1st Phase JP Nagar,2615.0,5.0,222.0,4,1st Phase JP Nagar
36,Ready To Move,1st Phase JP Nagar,900.0,2.0,75.0,2,1st Phase JP Nagar
37,Ready To Move,1st Stage Indira Nagar,1400.0,2.0,67.0,2,other
38,18-May,1st Stage Indira Nagar,1200.0,2.0,55.0,2,other
39,Ready To Move,1st Stage Indira Nagar,940.0,2.0,56.0,2,other
40,Ready To Move,1st Stage Indira Nagar,3000.0,4.0,301.0,4,other
41,Ready To Move,2nd Block Hrbr Layout,1480.0,3.0,90.0,3,other
42,Ready To Move,2nd Block Hrbr Layout,1480.0,3.0,90.0,3,other
43,18-Jul,2nd Block Hrbr Layout,1550.0,3.0,110.0,3,other
44,Ready To Move,2nd Block Hrbr Layout,1350.0,4.0,235.0,4,other
45,Ready To Move,2nd Block Jayanagar,1718.0,3.0,223.0,3,other
46,Ready To Move,2nd Block Jayanagar,1000.0,2.0,97.0,2,other
47,Ready To Move,2nd Phase JP Nagar,2800.0,4.0,200.0,5,other
48,Ready To Move,2nd Phase JP Nagar,1000.0,1.0,55.0,2,other
49,Ready To Move,2nd Phase JP Nagar,1040.0,2.0,78.0,2,other
50,Ready To Move,2nd Phase JP Nagar,850.0,2.0,42.5,2,other
51,Ready To Move,2nd Phase Judicial Layout,1450.0,2.0,50.75,3,2nd Phase Judicial Layout
52,Ready To Move,2nd Phase Judicial Layout,1150.0,2.0,40.25,2,2nd Phase Judicial Layout
53,Ready To Move,2nd Phase Judicial Layout,1350.0,2.0,47.25,3,2nd Phase Judicial Layout
54,Ready To Move,2nd Phase Judicial Layout,1350.0,2.0,47.25,3,2nd Phase Judicial Layout
55,22-Jun,2nd Phase Judicial Layout,900.0,2.0,41.0,2,2nd Phase Judicial Layout
56,Ready To Move,2nd Phase Judicial Layout,1681.0,3.0,69.0,3,2nd Phase Judicial Layout
57,Ready To Move,2nd Phase Judicial Layout,1350.0,2.0,47.25,3,2nd Phase Judicial Layout
58,Ready To Move,2nd Phase Judicial Layout,1150.0,2.0,40.25,2,2nd Phase Judicial Layout
59,Ready To Move,2nd Stage Arekere Mico Layout,1200.0,4.0,130.0,4,other
60,Ready To Move,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4,2nd Stage Nagarbhavi
61,Ready To Move,2nd Stage Nagarbhavi,3000.0,8.0,451.0,6,2nd Stage Nagarbhavi
62,Ready To Move,2nd Stage Nagarbhavi,2400.0,8.0,450.0,6,2nd Stage Nagarbhavi
63,Ready To Move,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4,2nd Stage Nagarbhavi
64,Ready To Move,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4,2nd Stage Nagarbhavi
65,Ready To Move,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4,2nd Stage Nagarbhavi
66,Ready To Move,3rd Block Banashankari,2400.0,8.0,650.0,6,other
67,Ready To Move,3rd Block Banashankari,1200.0,4.0,175.0,4,other
68,Ready To Move,3rd Block Banashankari,2400.0,4.0,325.0,5,other
69,Ready To Move,3rd Block Hrbr Layout,1056.0,2.0,80.0,2,other
70,Ready To Move,3rd Block Hrbr Layout,1320.0,2.0,90.0,2,other
71,Ready To Move,3rd Block Hrbr Layout,1300.0,2.0,95.0,2,other
72,Ready To Move,3rd Block Hrbr Layout,1650.0,3.0,140.0,3,other
73,Ready To Move,3rd Block Jayanagar,2150.0,3.0,240.0,3,other
74,Ready To Move,3rd Block Koramangala,2100.0,3.0,270.0,3,other
75,Ready To Move,3rd Phase JP Nagar,4500.0,4.0,345.0,4,other
76,Ready To Move,4th Block Jayanagar,900.0,2.0,70.0,2,other
77,19-Dec,4th Block Jayanagar,2005.0,3.0,240.0,3,other
78,Ready To Move,4th Block Jayanagar,1567.2,2.0,190.0,3,other
79,Ready To Move,4th Block Koramangala,1225.0,2.0,150.0,2,other
80,Ready To Move,4th Block Koramangala,4500.0,9.0,500.0,9,other
81,Ready To Move,4th Block Koramangala,1800.0,3.0,140.0,3,other
82,Ready To Move,4th Block Koramangala,3400.0,6.0,420.0,4,other
83,Ready To Move,4th Block Koramangala,1269.0,2.0,97.0,2,other
84,18-Aug,4th Phase JP Nagar,1070.0,2.0,38.9,2,other
85,18-Aug,4th Phase JP Nagar,1080.0,2.0,38.0,2,other
86,Ready To Move,4th Phase JP Nagar,600.0,4.0,70.0,2,other
87,Ready To Move,4th T block Jayanagar,2401.0,3.0,185.0,3,other
88,19-Mar,4th T block Jayanagar,3900.0,4.0,333.0,4,other
89,Ready To Move,4th T block Jayanagar,1550.0,4.0,120.0,4,other
90,Ready To Move,4th T block Jayanagar,2100.0,3.0,220.0,3,other
91,Ready To Move,4th T block Jayanagar,2400.0,3.0,185.0,3,other
92,Ready To Move,5th Block Hbr Layout,1206.0,2.0,56.0,2,5th Block Hbr Layout
93,Ready To Move,5th Block Hbr Layout,1270.0,2.0,70.0,3,5th Block Hbr Layout
94,Ready To Move,5th Block Hbr Layout,1312.0,2.0,69.0,2,5th Block Hbr Layout
95,Ready To Move,5th Block Hbr Layout,1100.0,2.0,48.0,2,5th Block Hbr Layout
96,Ready To Move,5th Block Hbr Layout,3600.0,5.0,130.0,5,5th Block Hbr Layout
97,Ready To Move,5th Block Hbr Layout,5100.0,5.0,300.0,6,5th Block Hbr Layout
98,Ready To Move,5th Phase JP Nagar,1075.0,2.0,60.0,2,5th Phase JP Nagar
99,Ready To Move,5th Phase JP Nagar,1150.0,3.0,52.5,2,5th Phase JP Nagar
100,Ready To Move,5th Phase JP Nagar,1256.0,2.0,62.8,2,5th Phase JP Nagar
101,Ready To Move,5th Phase JP Nagar,1207.0,2.0,63.0,2,5th Phase JP Nagar
102,Ready To Move,5th Phase JP Nagar,1725.0,2.0,100.0,3,5th Phase JP Nagar
103,Ready To Move,5th Phase JP Nagar,1440.0,2.0,60.0,2,5th Phase JP Nagar
104,Ready To Move,5th Phase JP Nagar,1700.0,2.0,100.0,3,5th Phase JP Nagar
105,Ready To Move,5th Phase JP Nagar,1485.0,2.0,67.0,3,5th Phase JP Nagar
106,Ready To Move,5th Phase JP Nagar,2500.0,5.0,110.0,5,5th Phase JP Nagar
107,Ready To Move,5th Phase JP Nagar,600.0,1.0,30.0,1,5th Phase JP Nagar
108,Ready To Move,5th Phase JP Nagar,1390.0,2.0,65.0,2,5th Phase JP Nagar
109,Ready To Move,5th Phase JP Nagar,1256.0,2.0,62.8,2,5th Phase JP Nagar
110,Ready To Move,5th Phase JP Nagar,1000.0,2.0,48.0,2,5th Phase JP Nagar
111,Ready To Move,5th Phase JP Nagar,1350.0,2.0,75.0,3,5th Phase JP Nagar
112,Ready To Move,5th Phase JP Nagar,552.0,1.0,23.5,1,5th Phase JP Nagar
113,Ready To Move,5th Phase JP Nagar,1200.0,2.0,51.0,2,5th Phase JP Nagar
114,Ready To Move,5th Phase JP Nagar,1240.0,3.0,60.0,3,5th Phase JP Nagar
115,Ready To Move,5th Phase JP Nagar,1550.0,3.0,75.0,3,5th Phase JP Nagar
116,Ready To Move,5th Phase JP Nagar,1485.0,2.0,66.0,3,5th Phase JP Nagar
117,Ready To Move,5th Phase JP Nagar,1030.0,2.0,57.0,2,5th Phase JP Nagar
118,Ready To Move,5th Phase JP Nagar,1200.0,2.0,68.0,2,5th Phase JP Nagar
119,Ready To Move,5th Phase JP Nagar,1190.0,2.0,61.8,2,5th Phase JP Nagar
120,Ready To Move,5th Phase JP Nagar,4000.0,5.0,170.0,5,5th Phase JP Nagar
121,Ready To Move,5th Phase JP Nagar,1080.0,2.0,53.0,2,5th Phase JP Nagar
122,Ready To Move,5th Phase JP Nagar,1041.0,2.0,54.0,2,5th Phase JP Nagar
123,Ready To Move,5th Phase JP Nagar,812.0,2.0,42.0,2,5th Phase JP Nagar
124,Ready To Move,5th Phase JP Nagar,1010.0,2.0,57.0,2,5th Phase JP Nagar
125,Ready To Move,5th Phase JP Nagar,1450.0,2.0,73.0,3,5th Phase JP Nagar
126,Ready To Move,5th Phase JP Nagar,1075.0,2.0,60.0,2,5th Phase JP Nagar
127,Ready To Move,5th Stage BEML Layout,2000.0,3.0,85.0,3,other
128,Ready To Move,5th Stage BEML Layout,2000.0,3.0,85.0,3,other
129,Ready To Move,6th Phase JP Nagar,1192.0,2.0,74.0,2,6th Phase JP Nagar
130,Ready To Move,6th Phase JP Nagar,1180.0,2.0,80.0,2,6th Phase JP Nagar
131,Ready To Move,6th Phase JP Nagar,3245.0,4.0,250.0,4,6th Phase JP Nagar
132,Ready To Move,6th Phase JP Nagar,1645.0,3.0,100.0,3,6th Phase JP Nagar
133,Ready To Move,6th Phase JP Nagar,1140.0,2.0,65.0,2,6th Phase JP Nagar
134,Ready To Move,6th Phase JP Nagar,2040.0,3.0,200.0,3,6th Phase JP Nagar
135,Ready To Move,6th Phase JP Nagar,1213.0,2.0,63.0,2,6th Phase JP Nagar
136,Ready To Move,6th Phase JP Nagar,1216.0,2.0,60.0,2,6th Phase JP Nagar
137,Ready To Move,6th Phase JP Nagar,1460.0,2.0,80.0,2,6th Phase JP Nagar
138,Ready To Move,6th Phase JP Nagar,2003.0,3.0,200.0,3,6th Phase JP Nagar
139,Ready To Move,6th Phase JP Nagar,1810.0,3.0,131.0,3,6th Phase JP Nagar
140,Ready To Move,6th Phase JP Nagar,1515.0,2.0,135.0,3,6th Phase JP Nagar
141,Ready To Move,6th Phase JP Nagar,1192.0,2.0,75.0,2,6th Phase JP Nagar
142,Ready To Move,6th Phase JP Nagar,1280.0,2.0,88.0,2,6th Phase JP Nagar
143,Ready To Move,6th block Koramangala,1117.0,2.0,110.0,2,other
144,Ready To Move,6th block Koramangala,3000.0,3.0,400.0,3,other
145,Ready To Move,7th Block Jayanagar,3000.0,3.0,528.0,5,other
146,Ready To Move,7th Block Jayanagar,2400.0,3.0,408.0,3,other
147,Ready To Move,7th Block Jayanagar,1903.0,2.0,293.0,3,other
148,Ready To Move,7th Phase JP Nagar,1080.0,2.0,72.0,2,7th Phase JP Nagar
149,Ready To Move,7th Phase JP Nagar,1270.0,2.0,93.0,2,7th Phase JP Nagar
150,Ready To Move,7th Phase JP Nagar,1420.0,2.0,100.0,3,7th Phase JP Nagar
151,Ready To Move,7th Phase JP Nagar,1850.0,3.0,150.0,3,7th Phase JP Nagar
152,Ready To Move,7th Phase JP Nagar,1245.0,2.0,94.0,2,7th Phase JP Nagar
153,Ready To Move,7th Phase JP Nagar,1175.0,2.0,82.0,2,7th Phase JP Nagar
154,Ready To Move,7th Phase JP Nagar,1400.0,2.0,95.0,3,7th Phase JP Nagar
155,19-Dec,7th Phase JP Nagar,2225.0,3.0,160.0,3,7th Phase JP Nagar
156,Ready To Move,7th Phase JP Nagar,1050.0,2.0,71.0,2,7th Phase JP Nagar
157,Ready To Move,7th Phase JP Nagar,1100.0,2.0,46.0,2,7th Phase JP Nagar
158,Ready To Move,7th Phase JP Nagar,918.0,2.0,50.49,2,7th Phase JP Nagar
159,Ready To Move,7th Phase JP Nagar,1450.0,2.0,100.0,3,7th Phase JP Nagar
160,Ready To Move,7th Phase JP Nagar,1190.0,2.0,49.98,2,7th Phase JP Nagar
161,Ready To Move,7th Phase JP Nagar,1420.0,2.0,96.0,3,7th Phase JP Nagar
162,Ready To Move,7th Phase JP Nagar,1680.0,3.0,120.0,3,7th Phase JP Nagar
163,Ready To Move,7th Phase JP Nagar,980.0,2.0,69.0,2,7th Phase JP Nagar
164,Ready To Move,7th Phase JP Nagar,1180.0,2.0,72.0,2,7th Phase JP Nagar
165,Ready To Move,7th Phase JP Nagar,1050.0,2.0,57.0,3,7th Phase JP Nagar
166,Ready To Move,7th Phase JP Nagar,1343.0,2.0,56.41,3,7th Phase JP Nagar
167,Ready To Move,7th Phase JP Nagar,1405.0,2.0,59.01,3,7th Phase JP Nagar
168,Ready To Move,7th Phase JP Nagar,1400.0,3.0,115.0,3,7th Phase JP Nagar
169,Ready To Move,7th Phase JP Nagar,1270.0,2.0,83.0,2,7th Phase JP Nagar
171,19-Dec,7th Phase JP Nagar,2503.0,4.0,188.0,4,7th Phase JP Nagar
172,Ready To Move,7th Phase JP Nagar,2200.0,3.0,190.0,3,7th Phase JP Nagar
173,Ready To Move,7th Phase JP Nagar,1250.0,3.0,65.0,3,7th Phase JP Nagar
174,Ready To Move,7th Phase JP Nagar,1385.0,2.0,58.17,3,7th Phase JP Nagar
175,Ready To Move,7th Phase JP Nagar,1575.0,2.0,110.0,3,7th Phase JP Nagar
176,Ready To Move,7th Phase JP Nagar,1850.0,3.0,140.0,3,7th Phase JP Nagar
177,Ready To Move,7th Phase JP Nagar,1575.0,2.0,120.0,3,7th Phase JP Nagar
178,Ready To Move,7th Phase JP Nagar,1850.0,3.0,150.0,3,7th Phase JP Nagar
179,Ready To Move,7th Phase JP Nagar,1680.0,3.0,120.0,3,7th Phase JP Nagar
180,Ready To Move,7th Phase JP Nagar,1175.0,2.0,82.5,2,7th Phase JP Nagar
181,Ready To Move,7th Phase JP Nagar,3300.0,4.0,160.0,3,7th Phase JP Nagar
182,Ready To Move,7th Phase JP Nagar,2200.0,4.0,105.0,3,7th Phase JP Nagar
183,Ready To Move,7th Phase JP Nagar,1215.0,2.0,90.0,2,7th Phase JP Nagar
184,Ready To Move,7th Phase JP Nagar,1050.0,2.0,75.0,2,7th Phase JP Nagar
185,Ready To Move,7th Phase JP Nagar,1300.0,3.0,89.13,3,7th Phase JP Nagar
186,Ready To Move,7th Phase JP Nagar,1130.0,2.0,73.0,2,7th Phase JP Nagar
187,Ready To Move,7th Phase JP Nagar,1450.0,3.0,100.0,3,7th Phase JP Nagar
188,Ready To Move,7th Phase JP Nagar,1350.0,3.0,58.0,3,7th Phase JP Nagar
189,Ready To Move,7th Phase JP Nagar,1050.0,2.0,50.0,2,7th Phase JP Nagar
190,Ready To Move,7th Phase JP Nagar,1275.0,2.0,87.0,2,7th Phase JP Nagar
191,Ready To Move,7th Phase JP Nagar,1460.0,3.0,70.0,3,7th Phase JP Nagar
192,Ready To Move,7th Phase JP Nagar,1650.0,3.0,110.0,3,7th Phase JP Nagar
193,Ready To Move,7th Phase JP Nagar,850.0,2.0,42.0,2,7th Phase JP Nagar
194,Ready To Move,7th Phase JP Nagar,1680.0,3.0,117.0,3,7th Phase JP Nagar
195,Ready To Move,7th Phase JP Nagar,1850.0,3.0,150.0,3,7th Phase JP Nagar
196,Ready To Move,7th Phase JP Nagar,1236.0,2.0,61.33,2,7th Phase JP Nagar
197,Ready To Move,7th Phase JP Nagar,1000.0,2.0,53.0,2,7th Phase JP Nagar
198,Ready To Move,7th Phase JP Nagar,1680.0,3.0,125.0,3,7th Phase JP Nagar
199,Ready To Move,7th Phase JP Nagar,1675.0,2.0,135.0,3,7th Phase JP Nagar
200,19-Jan,7th Phase JP Nagar,1187.0,2.0,59.0,2,7th Phase JP Nagar
201,Ready To Move,7th Phase JP Nagar,1850.0,3.0,155.0,3,7th Phase JP Nagar
202,Ready To Move,7th Phase JP Nagar,1000.0,2.0,61.0,2,7th Phase JP Nagar
203,Ready To Move,7th Phase JP Nagar,1460.0,2.0,100.0,3,7th Phase JP Nagar
204,Ready To Move,7th Phase JP Nagar,1650.0,3.0,110.0,3,7th Phase JP Nagar
205,Ready To Move,7th Phase JP Nagar,1200.0,2.0,62.5,2,7th Phase JP Nagar
206,Ready To Move,7th Phase JP Nagar,1000.0,2.0,70.65,2,7th Phase JP Nagar
207,Ready To Move,7th Phase JP Nagar,1080.0,2.0,75.0,2,7th Phase JP Nagar
208,Ready To Move,7th Phase JP Nagar,1415.0,3.0,65.0,3,7th Phase JP Nagar
209,Ready To Move,7th Phase JP Nagar,1680.0,3.0,125.0,3,7th Phase JP Nagar
210,Ready To Move,7th Phase JP Nagar,1460.0,2.0,97.0,3,7th Phase JP Nagar
211,Ready To Move,7th Phase JP Nagar,1120.0,2.0,65.0,2,7th Phase JP Nagar
212,Ready To Move,7th Phase JP Nagar,1100.0,3.0,60.0,2,7th Phase JP Nagar
213,Ready To Move,7th Phase JP Nagar,1790.0,3.0,120.0,3,7th Phase JP Nagar
214,Ready To Move,7th Phase JP Nagar,1680.0,3.0,117.0,3,7th Phase JP Nagar
215,Ready To Move,7th Phase JP Nagar,1050.0,2.0,77.0,2,7th Phase JP Nagar
216,Ready To Move,7th Phase JP Nagar,1050.0,2.0,75.0,2,7th Phase JP Nagar
217,Ready To Move,7th Phase JP Nagar,1040.0,2.0,75.0,2,7th Phase JP Nagar
218,Ready To Move,7th Phase JP Nagar,1400.0,2.0,95.0,3,7th Phase JP Nagar
219,Ready To Move,7th Phase JP Nagar,1800.0,3.0,130.0,3,7th Phase JP Nagar
220,Ready To Move,7th Phase JP Nagar,1050.0,2.0,68.0,2,7th Phase JP Nagar
221,Ready To Move,7th Phase JP Nagar,1000.0,2.0,60.0,2,7th Phase JP Nagar
222,Ready To Move,7th Phase JP Nagar,1680.0,3.0,125.0,3,7th Phase JP Nagar
223,Ready To Move,7th Phase JP Nagar,1050.0,2.0,77.47,2,7th Phase JP Nagar
224,Ready To Move,7th Phase JP Nagar,1270.0,2.0,80.0,2,7th Phase JP Nagar
225,Ready To Move,7th Phase JP Nagar,1463.0,2.0,61.45,3,7th Phase JP Nagar
226,Ready To Move,7th Phase JP Nagar,1680.0,3.0,122.0,3,7th Phase JP Nagar
227,Ready To Move,7th Phase JP Nagar,1130.0,2.0,85.0,2,7th Phase JP Nagar
228,Ready To Move,7th Phase JP Nagar,1680.0,3.0,130.0,3,7th Phase JP Nagar
229,Ready To Move,7th Phase JP Nagar,980.0,2.0,77.44,2,7th Phase JP Nagar
230,Ready To Move,7th Phase JP Nagar,1680.0,3.0,112.0,3,7th Phase JP Nagar
231,Ready To Move,7th Phase JP Nagar,1515.0,2.0,76.0,3,7th Phase JP Nagar
232,Ready To Move,7th Phase JP Nagar,2095.0,3.0,150.0,3,7th Phase JP Nagar
233,19-Dec,7th Phase JP Nagar,1976.0,3.0,145.0,3,7th Phase JP Nagar
234,Ready To Move,7th Phase JP Nagar,1600.0,2.0,110.0,3,7th Phase JP Nagar
235,Ready To Move,7th Phase JP Nagar,1765.0,3.0,118.0,3,7th Phase JP Nagar
236,Ready To Move,7th Phase JP Nagar,1275.0,2.0,88.0,3,7th Phase JP Nagar
237,Ready To Move,7th Phase JP Nagar,1450.0,2.0,102.0,3,7th Phase JP Nagar
238,Ready To Move,7th Phase JP Nagar,1575.0,2.0,110.0,3,7th Phase JP Nagar
239,Ready To Move,7th Phase JP Nagar,1075.0,2.0,57.0,3,7th Phase JP Nagar
240,Ready To Move,7th Phase JP Nagar,750.0,1.0,47.0,1,7th Phase JP Nagar
241,Ready To Move,7th Phase JP Nagar,990.0,2.0,50.0,2,7th Phase JP Nagar
242,Ready To Move,7th Phase JP Nagar,1000.0,1.0,60.0,1,7th Phase JP Nagar
243,Ready To Move,7th Phase JP Nagar,1680.0,2.0,92.0,3,7th Phase JP Nagar
244,Ready To Move,7th Phase JP Nagar,1430.0,2.0,102.0,3,7th Phase JP Nagar
245,Ready To Move,7th Phase JP Nagar,1128.0,2.0,60.0,2,7th Phase JP Nagar
246,Ready To Move,7th Phase JP Nagar,1140.0,2.0,57.0,2,7th Phase JP Nagar
247,Ready To Move,7th Phase JP Nagar,1420.0,3.0,90.0,3,7th Phase JP Nagar
248,Ready To Move,7th Phase JP Nagar,1530.0,2.0,108.0,2,7th Phase JP Nagar
249,Ready To Move,8th Block Jayanagar,2000.0,6.0,300.0,6,other
250,19-Mar,8th Phase JP Nagar,1073.5,2.0,54.005,2,8th Phase JP Nagar
251,18-May,8th Phase JP Nagar,451.0,1.0,29.9,1,8th Phase JP Nagar
252,18-Jun,8th Phase JP Nagar,1240.0,3.0,43.5,3,8th Phase JP Nagar
253,Ready To Move,8th Phase JP Nagar,1062.0,2.0,42.47,2,8th Phase JP Nagar
254,18-Jun,8th Phase JP Nagar,1230.0,2.0,43.5,3,8th Phase JP Nagar
255,20-Mar,8th Phase JP Nagar,1455.0,3.0,73.31,3,8th Phase JP Nagar
256,Ready To Move,8th Phase JP Nagar,871.0,2.0,55.0,2,8th Phase JP Nagar
257,Ready To Move,8th Phase JP Nagar,1098.0,2.0,43.91,2,8th Phase JP Nagar
258,Ready To Move,8th Phase JP Nagar,1800.0,3.0,80.0,3,8th Phase JP Nagar
259,Ready To Move,8th Phase JP Nagar,2700.0,4.0,130.0,4,8th Phase JP Nagar
260,18-Oct,8th Phase JP Nagar,1080.0,2.0,38.0,2,8th Phase JP Nagar
261,18-Jan,8th Phase JP Nagar,1059.0,2.0,34.5,2,8th Phase JP Nagar
262,18-Jun,8th Phase JP Nagar,1080.0,2.0,35.0,2,8th Phase JP Nagar
263,18-Jun,8th Phase JP Nagar,1275.0,2.0,41.5,3,8th Phase JP Nagar
264,Ready To Move,8th Phase JP Nagar,1062.0,2.0,42.47,2,8th Phase JP Nagar
265,18-Jul,8th Phase JP Nagar,500.0,1.0,31.0,1,8th Phase JP Nagar
266,18-Jun,8th Phase JP Nagar,1100.0,2.0,35.0,2,8th Phase JP Nagar
267,Ready To Move,8th Phase JP Nagar,2100.0,4.0,92.0,4,8th Phase JP Nagar
268,Ready To Move,8th Phase JP Nagar,1035.0,2.0,39.33,2,8th Phase JP Nagar
269,Ready To Move,8th Phase JP Nagar,909.0,2.0,40.9,2,8th Phase JP Nagar
270,19-Mar,8th Phase JP Nagar,1431.5,3.0,72.02,3,8th Phase JP Nagar
271,Ready To Move,8th Phase JP Nagar,1900.0,4.0,90.0,3,8th Phase JP Nagar
272,18-Jul,8th Phase JP Nagar,500.0,1.0,30.0,1,8th Phase JP Nagar
273,18-Jun,8th Phase JP Nagar,1125.0,2.0,36.94,2,8th Phase JP Nagar
274,Ready To Move,8th Phase JP Nagar,1100.0,2.0,35.0,2,8th Phase JP Nagar
275,Ready To Move,8th Phase JP Nagar,1089.0,2.0,43.55,2,8th Phase JP Nagar
276,Ready To Move,8th Phase JP Nagar,1605.0,2.0,65.0,3,8th Phase JP Nagar
277,Ready To Move,8th Phase JP Nagar,1504.0,2.0,83.0,3,8th Phase JP Nagar
278,Ready To Move,8th Phase JP Nagar,2600.0,4.0,115.0,4,8th Phase JP Nagar
279,Ready To Move,8th Phase JP Nagar,1368.0,2.0,54.71,3,8th Phase JP Nagar
280,Ready To Move,8th Phase JP Nagar,1089.0,2.0,43.55,2,8th Phase JP Nagar
281,Ready To Move,8th Phase JP Nagar,1224.0,2.0,48.95,3,8th Phase JP Nagar
282,Ready To Move,8th Phase JP Nagar,1513.0,2.0,62.0,2,8th Phase JP Nagar
283,Ready To Move,8th Phase JP Nagar,1298.0,2.0,59.0,2,8th Phase JP Nagar
284,Ready To Move,8th Phase JP Nagar,1006.0,2.0,44.0,2,8th Phase JP Nagar
285,18-Jul,8th Phase JP Nagar,500.0,1.0,33.0,1,8th Phase JP Nagar
286,Ready To Move,8th Phase JP Nagar,1160.0,2.0,95.0,2,8th Phase JP Nagar
287,18-Mar,8th Phase JP Nagar,1245.0,2.0,59.0,2,8th Phase JP Nagar
288,Ready To Move,8th Phase JP Nagar,1510.0,2.0,80.0,2,8th Phase JP Nagar
289,Ready To Move,8th Phase JP Nagar,3300.0,3.0,165.0,3,8th Phase JP Nagar
290,Ready To Move,8th Phase JP Nagar,1730.0,5.0,75.0,5,8th Phase JP Nagar
291,Ready To Move,8th Phase JP Nagar,1296.0,2.0,51.83,3,8th Phase JP Nagar
292,18-Apr,8th Phase JP Nagar,1275.0,3.0,45.0,3,8th Phase JP Nagar
293,18-Jun,8th Phase JP Nagar,1046.0,2.0,48.0,2,8th Phase JP Nagar
294,Ready To Move,8th Phase JP Nagar,1269.0,2.0,50.75,3,8th Phase JP Nagar
295,19-Mar,8th Phase JP Nagar,1408.0,3.0,80.0,3,8th Phase JP Nagar
296,Ready To Move,8th Phase JP Nagar,1500.0,2.0,55.0,3,8th Phase JP Nagar
297,Ready To Move,8th block Koramangala,1846.0,3.0,300.0,3,other
298,Ready To Move,8th block Koramangala,1410.0,1.0,233.0,2,other
299,Ready To Move,8th block Koramangala,1165.0,2.0,135.0,2,other
300,Ready To Move,8th block Koramangala,2400.0,3.0,290.0,3,other
301,Ready To Move,9th Block Jayanagar,700.0,1.0,150.0,1,other
302,Ready To Move,9th Block Jayanagar,1440.0,4.0,240.0,4,other
303,Ready To Move,9th Phase JP Nagar,1005.0,2.0,50.0,2,9th Phase JP Nagar
304,Ready To Move,9th Phase JP Nagar,1890.0,2.0,85.0,3,9th Phase JP Nagar
305,21-Sep,9th Phase JP Nagar,1100.0,2.0,65.0,2,9th Phase JP Nagar
